               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10165,            0.098368,            0.034345,             0.52319,             0.47467,             0.46648,             0.14227,            0.069133,            0.084687,            0.026661,             0.00166,             0.00166,             0.08506
                   1,            0.073106,            0.070385,            0.025125,             0.70873,              0.7841,             0.82922,             0.43207,            0.051762,            0.064937,            0.018317,           0.0033298,           0.0033298,             0.07003
                   2,            0.068624,            0.066046,            0.018548,             0.77123,             0.83453,             0.87746,             0.50018,              0.0539,            0.059519,            0.012936,           0.0049989,           0.0049989,            0.054999
                   3,            0.063844,            0.062607,            0.015269,              0.6908,             0.84239,             0.84571,               0.558,            0.056362,            0.059264,            0.011525,           0.0066667,           0.0066667,            0.039967
                   4,            0.060926,            0.063271,             0.01423,             0.94579,             0.92403,             0.98031,             0.58187,            0.049739,             0.05644,            0.011062,           0.0083326,           0.0083326,            0.024933
                   5,            0.059147,            0.061151,            0.013829,             0.90791,             0.93011,             0.97642,             0.59719,             0.04562,            0.055614,            0.010585,           0.0099861,           0.0099861,           0.0099861
                   6,            0.052736,            0.056892,            0.012917,             0.95681,              0.9795,             0.99239,             0.73931,            0.042172,            0.050106,           0.0095907,           0.0099861,           0.0099861,           0.0099861
                   7,            0.048711,            0.055068,            0.012049,             0.97428,              0.9957,             0.99394,             0.77741,            0.038322,             0.04807,           0.0093338,             0.00998,             0.00998,             0.00998
                   8,            0.045359,            0.050454,            0.011584,             0.98726,             0.99355,             0.99413,             0.80215,            0.033431,            0.045284,           0.0090199,           0.0099728,           0.0099728,           0.0099728
                   9,            0.043342,            0.049265,            0.011319,             0.99313,             0.99739,             0.99458,             0.82218,            0.036461,            0.045668,           0.0087232,           0.0099645,           0.0099645,           0.0099645
                  10,            0.042419,            0.049138,            0.011136,             0.99727,             0.99904,             0.99475,             0.81913,            0.031679,            0.043186,           0.0086508,           0.0099551,           0.0099551,           0.0099551
                  11,            0.040783,            0.048032,            0.010889,             0.99761,              0.9993,             0.99456,              0.8275,             0.03101,            0.042963,           0.0085159,           0.0099446,           0.0099446,           0.0099446
                  12,            0.038738,              0.0456,            0.010537,             0.99736,             0.99913,             0.99469,             0.83706,            0.031465,            0.042065,           0.0083745,            0.009933,            0.009933,            0.009933
