               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10164,            0.098375,            0.034341,             0.52584,             0.45917,             0.46674,             0.14173,            0.071195,            0.084475,             0.02668,             0.00166,             0.00166,             0.08506
                   1,             0.07326,            0.070296,            0.025104,             0.73034,              0.7021,             0.81632,             0.35797,            0.061476,             0.06459,            0.018064,           0.0033293,           0.0033293,            0.070029
                   2,             0.06917,            0.065848,            0.018548,             0.71277,             0.80279,             0.82883,             0.48194,            0.057051,            0.060315,            0.012793,           0.0049956,           0.0049956,            0.054996
                   3,            0.063984,            0.063304,             0.01529,             0.82015,             0.90116,             0.92758,             0.52449,            0.046294,             0.05681,            0.011569,           0.0066567,           0.0066567,            0.039957
                   4,            0.061364,            0.063669,            0.014227,             0.74594,             0.84265,             0.83281,             0.56578,            0.054888,            0.057833,            0.010924,           0.0083104,           0.0083104,             0.02491
                   5,            0.057611,            0.062102,            0.013668,             0.91441,             0.88829,             0.97045,             0.63224,            0.047795,            0.055377,            0.010277,           0.0099446,           0.0099446,           0.0099446
                   6,            0.052717,            0.056757,            0.013122,             0.94815,             0.96035,             0.98893,             0.57469,            0.042683,            0.051686,            0.009954,           0.0099446,           0.0099446,           0.0099446
                   7,            0.048928,            0.054925,            0.012205,             0.97832,             0.99736,             0.99281,             0.75644,            0.038712,            0.049765,           0.0093623,           0.0099203,           0.0099203,           0.0099203
                   8,            0.044739,            0.050246,            0.011541,             0.95343,             0.97457,             0.99123,             0.78453,            0.037527,            0.046744,            0.009002,           0.0098916,           0.0098916,           0.0098916
                   9,            0.044396,            0.049786,            0.011381,             0.99771,             0.99914,              0.9946,             0.83217,            0.034112,            0.044838,           0.0088115,           0.0098586,           0.0098586,           0.0098586
                  10,            0.042945,             0.04909,            0.011141,              0.9977,             0.99879,             0.99474,             0.83888,            0.030516,            0.042256,           0.0086183,           0.0098213,           0.0098213,           0.0098213
                  11,            0.041002,            0.048232,            0.010862,             0.99701,             0.99909,             0.99464,             0.82608,            0.031997,            0.043754,           0.0085489,           0.0097798,           0.0097798,           0.0097798
                  12,            0.038997,            0.045936,            0.010557,              0.9974,              0.9993,             0.99474,             0.84053,            0.031124,            0.041975,           0.0083377,            0.009734,            0.009734,            0.009734
                  13,            0.037076,             0.04529,            0.010479,             0.99794,             0.99921,             0.99474,             0.84151,            0.030348,            0.041264,           0.0083363,            0.009684,            0.009684,            0.009684
                  14,            0.037843,             0.04494,             0.01038,             0.99808,             0.99885,             0.99473,             0.85268,            0.030351,            0.041126,           0.0082094,           0.0096299,           0.0096299,           0.0096299
                  15,            0.037507,            0.044952,            0.010513,              0.9978,             0.99945,             0.99477,             0.85183,            0.027669,            0.038631,           0.0080674,           0.0095717,           0.0095717,           0.0095717
                  16,            0.037366,            0.045481,            0.010082,             0.99822,             0.99913,              0.9948,              0.8188,            0.032316,             0.04221,           0.0081042,           0.0095095,           0.0095095,           0.0095095
                  17,             0.03594,            0.044006,            0.010245,              0.9973,              0.9993,             0.99476,             0.86245,            0.028544,             0.03963,           0.0079982,           0.0094434,           0.0094434,           0.0094434
                  18,            0.036673,            0.044485,            0.010023,             0.99745,             0.99947,             0.99477,             0.85553,            0.028861,            0.039462,           0.0079163,           0.0093733,           0.0093733,           0.0093733
                  19,            0.035812,            0.043395,            0.010118,             0.99802,             0.99918,             0.99474,             0.85695,            0.029135,            0.040226,           0.0078661,           0.0092995,           0.0092995,           0.0092995
                  20,            0.035101,            0.042985,           0.0098928,             0.99855,             0.99897,             0.99477,             0.86653,             0.02845,            0.039351,           0.0078556,           0.0092219,           0.0092219,           0.0092219
                  21,            0.034818,            0.043138,           0.0099531,             0.99768,             0.99913,             0.99479,              0.8615,            0.027309,            0.038326,           0.0077894,           0.0091406,           0.0091406,           0.0091406
                  22,            0.034455,            0.042095,           0.0099388,             0.99775,             0.99947,             0.99483,             0.87447,            0.026778,            0.037326,           0.0077471,           0.0090557,           0.0090557,           0.0090557
                  23,            0.034142,            0.041954,           0.0096386,             0.99776,             0.99933,             0.99471,             0.86863,            0.026079,            0.036962,           0.0077227,           0.0089673,           0.0089673,           0.0089673
                  24,            0.034301,            0.041281,            0.009875,             0.99785,             0.99947,             0.99475,             0.87527,            0.025576,            0.036276,           0.0076988,           0.0088755,           0.0088755,           0.0088755
                  25,            0.034008,            0.041454,           0.0097171,             0.99806,             0.99953,             0.99485,             0.87416,            0.026233,            0.036757,            0.007578,           0.0087804,           0.0087804,           0.0087804
                  26,            0.033704,            0.041483,           0.0096147,             0.99785,             0.99947,             0.99488,             0.87118,            0.026513,            0.037258,           0.0075982,            0.008682,            0.008682,            0.008682
                  27,            0.033361,            0.040257,           0.0096744,             0.99796,             0.99947,             0.99487,             0.88477,            0.025525,            0.036287,              0.0076,           0.0085805,           0.0085805,           0.0085805
                  28,            0.032258,            0.039801,           0.0095388,             0.99804,              0.9993,             0.99487,             0.88162,            0.025851,            0.036279,            0.007579,           0.0084759,           0.0084759,           0.0084759
                  29,            0.032062,             0.04039,            0.009485,             0.99786,             0.99947,             0.99486,             0.88368,            0.024981,             0.03527,             0.00749,           0.0083684,           0.0083684,           0.0083684
                  30,            0.031745,             0.03838,           0.0094279,             0.99789,             0.99939,             0.99481,             0.88186,            0.025175,              0.0353,           0.0074819,           0.0082581,           0.0082581,           0.0082581
                  31,            0.031453,            0.038874,           0.0094607,             0.99779,             0.99947,             0.99491,             0.88716,            0.024993,            0.035176,           0.0074539,            0.008145,            0.008145,            0.008145
                  32,            0.032556,            0.040442,            0.009589,             0.99773,             0.99947,             0.99486,             0.87594,            0.025771,            0.035963,           0.0074678,           0.0080294,           0.0080294,           0.0080294
                  33,            0.031917,            0.039768,           0.0094185,              0.9978,             0.99947,             0.99487,             0.88776,            0.025071,            0.034978,           0.0073864,           0.0079112,           0.0079112,           0.0079112
                  34,            0.031088,            0.038927,           0.0094488,             0.99808,             0.99945,             0.99486,             0.89121,            0.024393,            0.034848,           0.0073923,           0.0077907,           0.0077907,           0.0077907
                  35,            0.030845,            0.038126,           0.0092251,             0.99791,              0.9993,             0.99487,             0.89194,            0.024709,            0.034732,           0.0073676,           0.0076679,           0.0076679,           0.0076679
                  36,            0.030846,            0.038017,           0.0093313,              0.9978,             0.99947,              0.9948,             0.88925,            0.024174,            0.034297,           0.0073855,            0.007543,            0.007543,            0.007543
