               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11449,             0.10473,             0.03699,              0.1261,             0.23884,            0.093352,            0.018918,            0.092614,             0.12274,            0.033775,             0.00059,             0.00059,             0.09469
                   1,            0.082468,            0.091233,            0.030882,             0.55124,             0.49327,             0.49195,             0.12137,            0.074322,            0.089112,            0.026703,           0.0011897,           0.0011897,             0.08929
                   2,            0.069985,            0.073073,            0.026599,             0.68655,             0.63752,             0.70207,              0.2486,            0.070535,            0.069033,              0.0231,           0.0017884,           0.0017884,            0.083888
                   3,            0.073983,            0.067975,            0.023348,             0.67972,             0.82253,             0.84561,             0.40682,            0.064925,            0.064619,             0.01889,           0.0023852,           0.0023852,            0.078485
                   4,            0.066516,            0.066336,            0.019294,             0.56525,             0.82505,             0.78825,             0.40199,            0.052385,             0.06647,            0.014763,           0.0029794,           0.0029794,            0.073079
                   5,            0.062436,            0.062563,            0.016257,             0.76064,             0.81252,             0.86766,             0.54041,              0.0537,            0.057929,             0.01269,           0.0035701,           0.0035701,             0.06767
                   6,            0.059234,            0.061807,            0.014639,             0.78999,             0.82709,             0.87759,             0.52349,            0.053588,            0.055744,            0.011335,           0.0041566,           0.0041566,            0.062257
                   7,            0.055683,            0.060146,            0.013702,             0.89232,              0.8685,             0.95536,             0.54586,            0.044813,            0.053414,            0.010537,           0.0047381,           0.0047381,            0.056838
                   8,            0.057044,            0.058678,            0.013242,              0.9249,             0.92409,             0.97874,             0.72201,             0.04423,             0.05284,            0.010402,           0.0053138,           0.0053138,            0.051414
                   9,            0.057393,            0.059598,            0.012865,             0.93675,             0.98121,             0.98328,             0.70967,            0.041427,            0.051683,            0.010228,            0.005883,            0.005883,            0.045983
                  10,            0.053403,            0.058699,             0.01242,             0.98822,             0.98135,             0.99437,             0.69847,            0.037704,            0.049545,           0.0099474,           0.0064449,           0.0064449,            0.040545
                  11,            0.050861,            0.055378,            0.012339,             0.96838,             0.98842,             0.99113,             0.75071,            0.035904,            0.048467,             0.00969,           0.0069987,           0.0069987,            0.035099
                  12,            0.050087,             0.05471,            0.012039,             0.98756,             0.99858,             0.99418,             0.75512,            0.035128,            0.047366,           0.0095825,           0.0075438,           0.0075438,            0.029644
                  13,            0.047583,            0.054488,            0.011736,             0.86959,             0.88482,             0.95624,             0.68457,            0.047054,            0.052102,            0.009423,           0.0080795,           0.0080795,            0.024179
                  14,            0.051209,            0.056243,            0.011799,             0.98485,             0.99551,             0.99481,             0.67291,            0.040939,            0.051982,           0.0094087,            0.008605,            0.008605,            0.018705
                  15,            0.048223,            0.054322,            0.011628,             0.99149,             0.99448,             0.99472,             0.73675,            0.039315,            0.049233,           0.0094274,           0.0091196,           0.0091196,             0.01322
                  16,            0.046004,             0.05339,            0.011444,             0.98741,             0.99866,             0.99449,             0.80285,            0.033708,            0.045708,           0.0091385,           0.0094434,           0.0094434,           0.0094434
                  17,            0.044757,            0.052373,            0.011323,             0.93978,             0.98751,             0.99129,             0.76592,            0.038036,            0.047733,           0.0088232,           0.0094434,           0.0094434,           0.0094434
                  18,            0.044141,            0.049627,             0.01098,             0.99267,             0.99902,             0.99477,             0.83264,            0.036262,            0.045749,           0.0087866,           0.0093733,           0.0093733,           0.0093733
                  19,            0.042851,            0.048269,            0.010854,             0.99516,             0.99941,             0.99473,             0.81419,            0.034816,            0.044476,           0.0087894,           0.0092995,           0.0092995,           0.0092995
                  20,            0.040448,            0.047083,            0.010474,             0.99822,             0.99954,             0.99488,              0.8229,            0.031478,             0.04267,           0.0086589,           0.0092219,           0.0092219,           0.0092219
                  21,            0.040013,            0.047631,            0.010681,             0.99827,             0.99954,             0.99483,             0.83212,            0.029926,            0.042554,           0.0084769,           0.0091406,           0.0091406,           0.0091406
                  22,            0.038624,            0.047684,            0.010338,             0.99856,             0.99954,             0.99488,             0.83608,            0.031538,            0.041547,           0.0084014,           0.0090557,           0.0090557,           0.0090557
                  23,             0.03754,             0.04675,            0.010182,             0.99366,             0.99732,             0.99483,             0.84735,            0.031148,            0.041894,           0.0083605,           0.0089673,           0.0089673,           0.0089673
                  24,            0.037134,            0.045837,             0.01003,             0.99834,             0.99954,             0.99481,             0.84367,            0.030803,            0.041277,           0.0081906,           0.0088755,           0.0088755,           0.0088755
                  25,            0.037197,            0.044848,            0.009985,             0.99859,             0.99954,             0.99487,             0.85427,            0.028681,            0.039192,           0.0080863,           0.0087804,           0.0087804,           0.0087804
                  26,            0.036376,            0.044532,           0.0099909,             0.99858,             0.99954,             0.99488,             0.84056,            0.030837,            0.040237,           0.0081081,            0.008682,            0.008682,            0.008682
                  27,            0.035729,            0.044247,            0.010082,             0.99861,             0.99954,             0.99488,             0.84851,            0.029019,            0.039376,           0.0079913,           0.0085805,           0.0085805,           0.0085805
                  28,            0.035572,            0.043237,           0.0097404,             0.99847,             0.99954,             0.99486,             0.85429,            0.029169,            0.039258,           0.0079992,           0.0084759,           0.0084759,           0.0084759
                  29,            0.035975,            0.044732,           0.0099705,             0.99863,             0.99954,             0.99486,             0.86436,            0.029297,            0.039262,           0.0079736,           0.0083684,           0.0083684,           0.0083684
                  30,            0.035062,            0.043522,           0.0096683,             0.99857,             0.99954,             0.99491,             0.85364,            0.028176,            0.038698,            0.007884,           0.0082581,           0.0082581,           0.0082581
                  31,            0.034295,            0.043174,           0.0096403,             0.99862,             0.99954,             0.99494,             0.87561,            0.027127,            0.037656,           0.0078714,            0.008145,            0.008145,            0.008145
                  32,            0.033255,            0.042782,           0.0094484,             0.99855,             0.99954,             0.99494,             0.87105,            0.025962,            0.036453,           0.0077461,           0.0080294,           0.0080294,           0.0080294
                  33,            0.033148,            0.040559,           0.0095591,             0.99859,             0.99954,             0.99485,             0.87685,             0.02569,            0.036233,           0.0078722,           0.0079112,           0.0079112,           0.0079112
                  34,            0.033322,            0.040862,           0.0095493,             0.99863,             0.99954,             0.99487,             0.86859,            0.026797,            0.036879,           0.0077085,           0.0077907,           0.0077907,           0.0077907
                  35,            0.033383,            0.041887,            0.009686,              0.9986,             0.99954,             0.99487,             0.87057,            0.027249,            0.037702,            0.007761,           0.0076679,           0.0076679,           0.0076679
                  36,            0.033875,            0.041854,           0.0095769,             0.99863,             0.99954,              0.9949,             0.87495,            0.026637,            0.036895,           0.0076776,            0.007543,            0.007543,            0.007543
                  37,            0.032312,            0.040356,            0.009377,              0.9986,             0.99954,             0.99489,             0.87138,            0.026731,            0.036482,           0.0077019,            0.007416,            0.007416,            0.007416
                  38,            0.032931,            0.040387,           0.0094232,             0.99865,             0.99954,             0.99491,             0.88227,            0.026029,            0.036241,            0.007635,           0.0072872,           0.0072872,           0.0072872
                  39,            0.032361,            0.040022,            0.009352,             0.99858,             0.99954,             0.99488,             0.88492,            0.025062,            0.034986,           0.0076077,           0.0071566,           0.0071566,           0.0071566
                  40,            0.031499,             0.03919,           0.0093828,             0.99854,             0.99954,             0.99487,             0.87841,            0.025016,             0.03517,           0.0075961,           0.0070243,           0.0070243,           0.0070243
                  41,            0.031308,            0.040318,           0.0093087,             0.99865,             0.99954,             0.99494,             0.88806,            0.024919,            0.034799,           0.0075626,           0.0068906,           0.0068906,           0.0068906
                  42,            0.031574,             0.03924,           0.0091829,             0.99861,             0.99953,             0.99494,              0.8817,            0.025345,            0.035417,           0.0075393,           0.0067555,           0.0067555,           0.0067555
                  43,            0.030976,            0.038651,           0.0091283,             0.99862,             0.99954,             0.99489,             0.88322,            0.025484,            0.035365,           0.0075086,           0.0066191,           0.0066191,           0.0066191
                  44,            0.030743,            0.038771,           0.0092016,             0.99861,             0.99954,             0.99491,              0.8865,            0.024991,            0.034948,           0.0075058,           0.0064816,           0.0064816,           0.0064816
                  45,            0.029845,            0.037695,           0.0090406,             0.99859,             0.99954,             0.99493,             0.88491,             0.02462,             0.03473,           0.0074852,           0.0063432,           0.0063432,           0.0063432
                  46,            0.031343,            0.040544,           0.0091911,             0.99859,             0.99954,             0.99494,              0.8856,            0.024892,            0.034905,           0.0074721,            0.006204,            0.006204,            0.006204
                  47,            0.030423,             0.03862,           0.0090914,             0.99855,             0.99954,             0.99491,             0.88575,            0.024746,            0.034448,            0.007424,            0.006064,            0.006064,            0.006064
                  48,             0.02987,            0.037699,           0.0090757,             0.99864,             0.99954,             0.99492,             0.88609,            0.024763,            0.034718,           0.0074245,           0.0059235,           0.0059235,           0.0059235
                  49,            0.029911,            0.037446,           0.0091656,             0.99866,             0.99954,             0.99492,             0.88715,            0.024577,            0.034294,           0.0074191,           0.0057826,           0.0057826,           0.0057826
                  50,            0.030013,            0.037946,            0.009064,             0.99865,             0.99954,             0.99494,             0.89418,             0.02394,            0.033789,           0.0073755,           0.0056413,           0.0056413,           0.0056413
                  51,            0.029491,            0.037415,           0.0089879,              0.9986,             0.99954,             0.99496,              0.8912,            0.024266,            0.034013,           0.0073247,              0.0055,              0.0055,              0.0055
                  52,            0.029819,            0.037035,           0.0090963,             0.99861,             0.99954,             0.99494,             0.89453,            0.024083,            0.033707,           0.0073198,           0.0053587,           0.0053587,           0.0053587
                  53,            0.028925,            0.037394,            0.009057,              0.9986,             0.99954,             0.99496,              0.8922,            0.023898,            0.033494,           0.0073083,           0.0052174,           0.0052174,           0.0052174
                  54,            0.029043,            0.035754,           0.0089359,             0.99862,             0.99954,             0.99496,             0.89482,             0.02399,            0.033356,           0.0072757,           0.0050765,           0.0050765,           0.0050765
                  55,            0.028749,            0.036474,           0.0088596,             0.99863,             0.99954,             0.99496,             0.89562,            0.024037,            0.033458,            0.007279,            0.004936,            0.004936,            0.004936
                  56,            0.029005,            0.036777,           0.0090283,             0.99864,             0.99954,             0.99496,             0.90074,            0.023561,             0.03309,           0.0072693,            0.004796,            0.004796,            0.004796
                  57,            0.028194,            0.035428,           0.0088877,             0.99866,             0.99954,             0.99497,             0.89716,            0.023558,            0.033005,           0.0072711,           0.0046568,           0.0046568,           0.0046568
                  58,            0.027706,            0.034541,           0.0087655,             0.99866,             0.99954,             0.99496,             0.89692,             0.02362,             0.03296,           0.0072162,           0.0045184,           0.0045184,           0.0045184
                  59,            0.027563,            0.034802,           0.0088478,             0.99864,             0.99954,             0.99495,             0.89904,            0.023522,            0.032969,           0.0072147,           0.0043809,           0.0043809,           0.0043809
                  60,            0.027846,            0.035631,           0.0089299,             0.99864,             0.99954,             0.99496,               0.902,            0.023294,            0.032421,           0.0071792,           0.0042445,           0.0042445,           0.0042445
                  61,            0.027422,            0.034364,           0.0088587,             0.99861,             0.99954,             0.99497,             0.90179,            0.023272,            0.032508,           0.0071683,           0.0041094,           0.0041094,           0.0041094
                  62,            0.027518,            0.034979,           0.0087843,             0.99865,             0.99954,             0.99497,             0.89837,            0.023475,            0.032799,            0.007168,           0.0039757,           0.0039757,           0.0039757
                  63,            0.027564,             0.03521,           0.0088053,             0.99862,             0.99954,             0.99498,             0.90278,            0.023313,            0.032487,           0.0071479,           0.0038434,           0.0038434,           0.0038434
                  64,            0.027589,            0.035735,            0.008815,             0.99864,             0.99954,             0.99498,             0.90177,            0.023208,            0.032312,           0.0071546,           0.0037128,           0.0037128,           0.0037128
                  65,            0.027012,            0.034471,           0.0087565,             0.99863,             0.99954,             0.99497,             0.89998,            0.023311,            0.032638,           0.0071167,            0.003584,            0.003584,            0.003584
                  66,            0.026747,             0.03343,           0.0087533,             0.99864,             0.99954,             0.99495,             0.90584,             0.02304,            0.031901,           0.0070821,            0.003457,            0.003457,            0.003457
                  67,            0.026803,            0.034289,           0.0087454,             0.99864,             0.99954,             0.99495,              0.9045,            0.023043,            0.032225,             0.00709,           0.0033321,           0.0033321,           0.0033321
                  68,            0.026587,            0.034849,           0.0085779,             0.99864,             0.99954,             0.99495,             0.90314,            0.023067,            0.032354,            0.007087,           0.0032093,           0.0032093,           0.0032093
                  69,            0.026763,            0.033664,           0.0087106,             0.99864,             0.99954,             0.99497,             0.90678,            0.022884,            0.031826,           0.0070493,           0.0030888,           0.0030888,           0.0030888
                  70,            0.026442,            0.034087,           0.0087272,             0.99857,             0.99954,             0.99497,             0.90597,            0.022946,            0.031917,           0.0070456,           0.0029706,           0.0029706,           0.0029706
                  71,            0.026318,            0.032974,           0.0085845,             0.99865,             0.99954,             0.99495,             0.90666,            0.022937,            0.031834,           0.0070215,            0.002855,            0.002855,            0.002855
                  72,            0.026483,            0.033525,           0.0087473,             0.99864,             0.99954,             0.99497,             0.90587,            0.022813,            0.031564,           0.0070112,           0.0027419,           0.0027419,           0.0027419
                  73,            0.026149,            0.033567,           0.0085614,             0.99865,             0.99954,             0.99495,             0.90509,            0.022806,            0.031666,            0.006997,           0.0026316,           0.0026316,           0.0026316
                  74,            0.025893,            0.033422,           0.0084666,             0.99864,             0.99954,             0.99496,             0.90687,            0.022807,            0.031888,           0.0070355,           0.0025241,           0.0025241,           0.0025241
                  75,               0.026,            0.033206,           0.0085299,             0.99859,             0.99954,             0.99495,             0.90712,            0.022818,            0.031786,           0.0069934,           0.0024195,           0.0024195,           0.0024195
                  76,            0.026415,            0.033498,           0.0086691,             0.99866,             0.99954,             0.99494,             0.90558,            0.022847,            0.031728,           0.0069715,            0.002318,            0.002318,            0.002318
                  77,             0.02629,            0.033838,           0.0086823,             0.99858,             0.99954,             0.99494,             0.90621,            0.022792,            0.031711,           0.0069741,           0.0022196,           0.0022196,           0.0022196
                  78,             0.02598,            0.033014,           0.0085641,             0.99865,             0.99954,             0.99495,             0.90841,            0.022707,            0.031739,           0.0069707,           0.0021245,           0.0021245,           0.0021245
                  79,            0.026013,            0.033605,           0.0085152,             0.99866,             0.99954,             0.99495,             0.90786,            0.022727,            0.031667,           0.0069645,           0.0020327,           0.0020327,           0.0020327
                  80,            0.025893,            0.033459,           0.0085415,             0.99865,             0.99954,             0.99495,             0.90873,            0.022651,            0.031362,           0.0069443,           0.0019443,           0.0019443,           0.0019443
                  81,            0.025904,            0.032649,           0.0085546,             0.99864,             0.99954,             0.99495,             0.90824,            0.022682,            0.031538,           0.0069487,           0.0018594,           0.0018594,           0.0018594
                  82,            0.025795,            0.032605,           0.0085157,             0.99864,             0.99954,             0.99496,             0.90756,            0.022681,            0.031473,           0.0069492,           0.0017781,           0.0017781,           0.0017781
