               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10854,             0.10503,            0.035825,             0.17747,             0.37632,             0.16921,            0.034961,            0.083139,             0.10198,            0.030963,             0.00118,             0.00118,             0.08938
                   1,            0.076057,            0.077298,            0.027996,             0.53986,             0.64378,             0.64144,             0.25878,            0.059916,            0.070978,            0.022975,           0.0023695,           0.0023695,            0.078669
                   2,             0.07142,            0.067694,            0.022459,             0.72145,             0.81754,             0.84178,             0.40713,            0.054258,            0.063848,            0.016584,           0.0035568,           0.0035568,            0.067957
                   3,            0.069085,            0.064806,            0.017599,              0.9174,             0.87339,             0.96182,             0.59658,            0.056501,            0.059613,            0.013093,           0.0047405,           0.0047405,            0.057241
                   4,            0.065563,            0.063926,            0.015231,             0.91999,             0.88816,             0.97332,             0.59178,            0.061549,            0.057832,            0.011582,           0.0059189,           0.0059189,            0.046519
                   5,            0.063424,            0.061785,            0.014102,             0.79827,             0.72823,             0.93663,             0.58482,            0.051716,            0.057041,            0.011016,           0.0070905,           0.0070905,             0.03579
                   6,            0.059361,            0.063781,            0.013805,              0.8718,             0.88635,             0.96727,             0.63712,            0.052383,            0.055141,            0.010501,           0.0082537,           0.0082537,            0.025054
                   7,            0.057407,            0.062569,            0.013072,             0.94603,             0.95635,             0.98645,             0.68308,            0.045093,            0.055887,            0.010367,           0.0094069,           0.0094069,            0.014307
                   8,            0.055127,            0.056723,            0.012628,             0.94809,             0.98638,             0.99148,             0.70081,            0.040699,            0.052638,           0.0096183,           0.0098586,           0.0098586,           0.0098586
                   9,            0.049363,            0.055598,            0.011997,             0.98844,             0.99665,             0.99463,             0.73878,            0.037763,            0.049576,           0.0093295,           0.0098586,           0.0098586,           0.0098586
                  10,            0.046683,            0.053012,            0.011563,             0.99149,             0.99778,             0.99479,             0.80067,            0.038197,             0.04715,           0.0092721,           0.0098213,           0.0098213,           0.0098213
                  11,            0.044781,            0.050795,            0.011238,             0.98784,             0.99589,             0.99472,             0.79297,             0.03827,            0.047818,           0.0090608,           0.0097798,           0.0097798,           0.0097798
                  12,            0.042682,            0.048958,            0.010935,             0.99683,             0.99821,              0.9948,             0.80743,            0.035914,            0.045571,           0.0087993,            0.009734,            0.009734,            0.009734
                  13,            0.040507,            0.048829,            0.010634,             0.99554,             0.99949,             0.99481,             0.80759,            0.033696,            0.044085,            0.008591,            0.009684,            0.009684,            0.009684
                  14,            0.040894,            0.047376,            0.010484,              0.9986,              0.9994,             0.99472,             0.81037,            0.031695,            0.043039,           0.0085825,           0.0096299,           0.0096299,           0.0096299
                  15,            0.039631,            0.047163,             0.01035,             0.99844,             0.99936,             0.99482,             0.85079,            0.028976,            0.041069,           0.0085344,           0.0095717,           0.0095717,           0.0095717
                  16,            0.039803,            0.047481,            0.010496,             0.99864,              0.9993,             0.99479,              0.8136,            0.030493,            0.041909,           0.0083581,           0.0095095,           0.0095095,           0.0095095
                  17,            0.039217,            0.046589,            0.010312,             0.99831,             0.99936,             0.99482,             0.84429,            0.029341,            0.040693,           0.0083248,           0.0094434,           0.0094434,           0.0094434
                  18,            0.037725,            0.045786,            0.010186,             0.99853,             0.99954,              0.9948,             0.84016,            0.029297,            0.041034,           0.0081754,           0.0093733,           0.0093733,           0.0093733
                  19,            0.037118,            0.044507,           0.0099165,             0.99853,             0.99954,             0.99491,             0.84011,            0.029968,            0.041082,             0.00818,           0.0092995,           0.0092995,           0.0092995
                  20,            0.035981,            0.044278,           0.0098463,             0.99839,             0.99954,              0.9949,              0.8357,            0.028756,             0.04004,           0.0081784,           0.0092219,           0.0092219,           0.0092219
                  21,            0.035985,            0.044032,             0.01002,             0.99863,              0.9994,             0.99487,             0.85863,            0.027456,            0.039256,           0.0080602,           0.0091406,           0.0091406,           0.0091406
                  22,            0.036962,             0.04588,           0.0097954,             0.99864,             0.99954,              0.9949,             0.84679,            0.029824,            0.040128,           0.0079375,           0.0090557,           0.0090557,           0.0090557
                  23,            0.035625,            0.044128,           0.0097087,             0.99862,             0.99954,             0.99484,             0.85494,            0.027798,            0.038489,           0.0079284,           0.0089673,           0.0089673,           0.0089673
                  24,            0.035417,            0.043442,           0.0095632,             0.99866,             0.99954,             0.99487,             0.84731,            0.028434,            0.038972,           0.0078506,           0.0088755,           0.0088755,           0.0088755
                  25,            0.035315,            0.044096,           0.0097167,              0.9986,             0.99954,             0.99493,             0.85246,            0.028275,             0.03859,           0.0077265,           0.0087804,           0.0087804,           0.0087804
                  26,            0.034307,            0.043381,           0.0095365,             0.99864,             0.99954,             0.99488,             0.85461,            0.027627,            0.038014,           0.0076918,            0.008682,            0.008682,            0.008682
                  27,            0.033519,            0.041264,           0.0096826,              0.9986,             0.99954,             0.99487,             0.87534,            0.026964,            0.037459,           0.0076939,           0.0085805,           0.0085805,           0.0085805
                  28,            0.033123,            0.041438,           0.0096004,             0.99861,             0.99954,              0.9949,             0.86643,             0.02651,            0.037157,           0.0077492,           0.0084759,           0.0084759,           0.0084759
                  29,            0.034184,            0.043584,           0.0096008,             0.99862,             0.99954,             0.99486,             0.84288,            0.027672,            0.038297,           0.0076212,           0.0083684,           0.0083684,           0.0083684
                  30,            0.033508,            0.042458,           0.0094783,              0.9986,             0.99954,             0.99489,             0.86996,            0.027264,            0.037376,           0.0076399,           0.0082581,           0.0082581,           0.0082581
                  31,            0.033618,             0.04193,           0.0092887,             0.99864,             0.99954,             0.99489,             0.87787,            0.025237,            0.035762,           0.0075623,            0.008145,            0.008145,            0.008145
                  32,            0.032398,            0.040298,           0.0092504,             0.99863,             0.99954,             0.99495,             0.87594,            0.026089,            0.036473,           0.0075775,           0.0080294,           0.0080294,           0.0080294
                  33,            0.032213,            0.040496,           0.0092269,             0.99861,             0.99954,             0.99491,             0.87772,            0.025553,            0.036268,           0.0075794,           0.0079112,           0.0079112,           0.0079112
                  34,            0.031473,            0.038918,           0.0092999,             0.99858,             0.99954,             0.99493,             0.87765,             0.02611,            0.036189,             0.00745,           0.0077907,           0.0077907,           0.0077907
                  35,            0.032648,            0.040573,           0.0094255,             0.99863,             0.99954,             0.99489,             0.86439,            0.027283,            0.037452,           0.0074928,           0.0076679,           0.0076679,           0.0076679
                  36,            0.032426,            0.040068,           0.0093816,             0.99862,             0.99954,              0.9948,             0.88117,            0.025334,            0.035673,           0.0074388,            0.007543,            0.007543,            0.007543
                  37,            0.031109,            0.038508,           0.0090667,             0.99864,             0.99954,             0.99492,             0.88125,            0.025205,            0.035518,           0.0075319,            0.007416,            0.007416,            0.007416
                  38,            0.031434,            0.038892,           0.0092499,             0.99856,             0.99954,             0.99492,             0.87227,            0.026254,            0.036584,           0.0074177,           0.0072872,           0.0072872,           0.0072872
                  39,            0.031933,            0.040137,           0.0090766,             0.99862,             0.99954,             0.99486,             0.88651,            0.024343,             0.03484,           0.0074046,           0.0071566,           0.0071566,           0.0071566
                  40,            0.031272,            0.039216,           0.0091067,              0.9986,             0.99954,              0.9949,             0.88428,            0.025049,            0.035132,           0.0074047,           0.0070243,           0.0070243,           0.0070243
                  41,            0.030559,            0.038732,           0.0090665,             0.99863,             0.99954,              0.9949,             0.88452,             0.02482,            0.034818,           0.0073235,           0.0068906,           0.0068906,           0.0068906
                  42,            0.030662,            0.038879,           0.0090203,             0.99857,             0.99954,             0.99487,             0.88797,             0.02409,            0.034226,           0.0073346,           0.0067555,           0.0067555,           0.0067555
                  43,            0.030355,            0.038127,           0.0090035,             0.99859,             0.99954,             0.99491,             0.88358,            0.024886,            0.035295,           0.0073701,           0.0066191,           0.0066191,           0.0066191
                  44,            0.029448,            0.037444,           0.0090098,             0.99859,             0.99954,             0.99491,             0.89183,            0.024016,            0.034036,           0.0072813,           0.0064816,           0.0064816,           0.0064816
                  45,             0.02938,            0.036855,           0.0090109,             0.99862,             0.99954,             0.99492,             0.89286,            0.024003,            0.034164,           0.0072962,           0.0063432,           0.0063432,           0.0063432
                  46,            0.029456,            0.038338,           0.0090553,             0.99864,             0.99954,             0.99493,             0.89044,            0.023837,            0.033949,           0.0073036,            0.006204,            0.006204,            0.006204
                  47,            0.029147,            0.037033,           0.0090144,             0.99864,             0.99954,             0.99493,             0.89012,            0.023557,            0.033045,           0.0071996,            0.006064,            0.006064,            0.006064
                  48,            0.028655,            0.036571,            0.008761,             0.99857,             0.99954,             0.99492,             0.89335,            0.023725,            0.033518,           0.0072204,           0.0059235,           0.0059235,           0.0059235
                  49,            0.028455,            0.036211,            0.008903,              0.9985,             0.99954,             0.99492,             0.89458,            0.023635,            0.033364,            0.007188,           0.0057826,           0.0057826,           0.0057826
                  50,            0.028958,            0.036753,           0.0089513,             0.99859,             0.99954,             0.99491,             0.89544,            0.023534,            0.033337,           0.0072433,           0.0056413,           0.0056413,           0.0056413
                  51,            0.029259,            0.036308,           0.0089132,             0.99865,             0.99954,              0.9949,             0.89174,            0.024262,            0.034119,           0.0072042,              0.0055,              0.0055,              0.0055
                  52,            0.029101,            0.036729,           0.0089405,             0.99865,             0.99954,             0.99494,             0.89571,            0.023715,            0.033451,           0.0071837,           0.0053587,           0.0053587,           0.0053587
                  53,            0.028361,            0.036468,           0.0088391,             0.99865,             0.99954,             0.99494,             0.89581,             0.02341,             0.03294,           0.0071389,           0.0052174,           0.0052174,           0.0052174
                  54,            0.027692,             0.03528,            0.008866,             0.99856,             0.99954,             0.99494,             0.89594,            0.023473,            0.033135,           0.0071123,           0.0050765,           0.0050765,           0.0050765
                  55,            0.027529,            0.034512,           0.0086869,             0.99858,             0.99954,             0.99496,             0.89989,            0.023096,            0.032674,           0.0071104,            0.004936,            0.004936,            0.004936
                  56,            0.027808,            0.034285,           0.0087036,             0.99865,             0.99954,             0.99496,             0.89945,            0.023186,            0.033006,           0.0071316,            0.004796,            0.004796,            0.004796
                  57,            0.027955,            0.035665,            0.008844,             0.99864,             0.99954,             0.99496,              0.9016,            0.023117,            0.032569,           0.0070499,           0.0046568,           0.0046568,           0.0046568
                  58,            0.027151,            0.034342,           0.0086355,             0.99864,             0.99954,             0.99493,             0.90151,            0.023042,              0.0325,           0.0070465,           0.0045184,           0.0045184,           0.0045184
                  59,            0.027789,            0.035359,           0.0087662,             0.99863,             0.99954,             0.99494,             0.90075,            0.023238,            0.032725,           0.0070392,           0.0043809,           0.0043809,           0.0043809
                  60,             0.02766,            0.035002,           0.0087771,             0.99864,             0.99954,             0.99495,             0.90118,            0.023054,            0.032591,           0.0070258,           0.0042445,           0.0042445,           0.0042445
                  61,            0.026968,            0.034378,           0.0087906,              0.9986,             0.99954,             0.99494,              0.9024,            0.022793,            0.031857,           0.0069841,           0.0041094,           0.0041094,           0.0041094
                  62,             0.02672,            0.033917,           0.0086622,             0.99866,             0.99954,             0.99494,             0.90537,            0.022758,            0.032074,           0.0069827,           0.0039757,           0.0039757,           0.0039757
                  63,            0.026681,            0.033863,           0.0087435,             0.99863,             0.99954,             0.99493,             0.90365,             0.02282,            0.031982,           0.0069769,           0.0038434,           0.0038434,           0.0038434
                  64,            0.026504,            0.033888,           0.0085616,             0.99859,             0.99954,             0.99494,             0.90579,            0.022736,            0.031945,           0.0069476,           0.0037128,           0.0037128,           0.0037128
                  65,            0.026993,            0.034836,           0.0086538,             0.99864,             0.99954,             0.99495,             0.90574,            0.022664,            0.031817,           0.0069547,            0.003584,            0.003584,            0.003584
                  66,            0.026613,            0.033462,           0.0086273,             0.99864,             0.99954,             0.99496,             0.90518,            0.022709,            0.032124,           0.0069495,            0.003457,            0.003457,            0.003457
                  67,            0.026291,            0.033116,           0.0085861,             0.99863,             0.99954,             0.99496,              0.9073,            0.022619,            0.031654,           0.0069157,           0.0033321,           0.0033321,           0.0033321
                  68,            0.026504,            0.033972,           0.0087431,             0.99863,             0.99954,             0.99496,             0.90714,            0.022574,             0.03177,           0.0069075,           0.0032093,           0.0032093,           0.0032093
                  69,            0.025877,            0.033176,           0.0084107,             0.99862,             0.99954,             0.99492,             0.90562,            0.022607,            0.031983,           0.0069196,           0.0030888,           0.0030888,           0.0030888
                  70,            0.025985,            0.033181,           0.0085549,             0.99866,             0.99954,             0.99494,             0.90748,            0.022522,            0.031623,           0.0068756,           0.0029706,           0.0029706,           0.0029706
                  71,            0.026185,            0.034492,           0.0085864,             0.99864,             0.99954,             0.99495,             0.90772,             0.02257,            0.031743,           0.0068645,            0.002855,            0.002855,            0.002855
                  72,            0.025833,            0.032748,           0.0083892,             0.99863,             0.99954,              0.9949,             0.90584,            0.022493,            0.031541,           0.0068547,           0.0027419,           0.0027419,           0.0027419
                  73,            0.026285,            0.033646,           0.0085952,             0.99855,             0.99954,             0.99491,             0.90679,            0.022515,            0.031593,           0.0068496,           0.0026316,           0.0026316,           0.0026316
                  74,            0.025639,            0.032855,           0.0083851,             0.99862,             0.99954,              0.9949,              0.9074,            0.022515,            0.031542,           0.0068279,           0.0025241,           0.0025241,           0.0025241
                  75,            0.025966,            0.033615,           0.0085149,             0.99864,             0.99954,             0.99492,             0.90832,            0.022449,            0.031642,           0.0068503,           0.0024195,           0.0024195,           0.0024195
                  76,            0.025601,            0.033093,            0.008397,             0.99858,             0.99954,             0.99493,             0.90704,            0.022485,            0.031638,           0.0068268,            0.002318,            0.002318,            0.002318
                  77,            0.025837,            0.032672,           0.0084626,             0.99863,             0.99954,             0.99493,             0.90801,            0.022411,            0.031601,           0.0068236,           0.0022196,           0.0022196,           0.0022196
                  78,            0.025924,            0.032429,           0.0084806,             0.99862,             0.99954,             0.99492,             0.90925,            0.022454,            0.031705,           0.0068293,           0.0021245,           0.0021245,           0.0021245
                  79,            0.025694,            0.032819,           0.0084442,             0.99865,             0.99954,             0.99495,             0.90841,              0.0224,            0.031573,           0.0068066,           0.0020327,           0.0020327,           0.0020327
                  80,            0.025598,            0.033034,           0.0083988,             0.99862,             0.99954,             0.99492,             0.90816,            0.022364,            0.031314,           0.0068004,           0.0019443,           0.0019443,           0.0019443
                  81,            0.025377,             0.03204,           0.0082986,             0.99863,             0.99954,             0.99492,             0.90811,            0.022409,            0.031416,           0.0067955,           0.0018594,           0.0018594,           0.0018594
                  82,            0.025494,            0.032068,            0.008398,             0.99863,             0.99954,             0.99492,             0.90854,            0.022371,            0.031266,           0.0067859,           0.0017781,           0.0017781,           0.0017781
                  83,            0.025824,            0.032836,           0.0084799,             0.99862,             0.99954,             0.99493,              0.9095,            0.022351,            0.031293,           0.0067843,           0.0017005,           0.0017005,           0.0017005
                  84,            0.025479,            0.032726,           0.0083624,             0.99861,             0.99954,             0.99494,             0.90976,            0.022346,            0.031486,           0.0067991,           0.0016267,           0.0016267,           0.0016267
                  85,            0.025689,            0.032462,           0.0084529,             0.99864,             0.99954,             0.99493,             0.90962,            0.022306,            0.031235,           0.0067887,           0.0015566,           0.0015566,           0.0015566
