               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10858,             0.10502,            0.035825,             0.21695,             0.34677,             0.22803,            0.056458,            0.079273,             0.10103,            0.030957,             0.00118,             0.00118,             0.08938
                   1,            0.076022,            0.077391,            0.028037,             0.53614,             0.71766,             0.65318,             0.27142,            0.058376,             0.07105,            0.022884,           0.0023699,           0.0023699,             0.07867
                   2,            0.071388,            0.067693,            0.022445,             0.37562,             0.79157,             0.47976,             0.18766,            0.066396,            0.062569,            0.016505,           0.0035592,           0.0035592,            0.067959
                   3,            0.069363,             0.06524,            0.017549,             0.85267,             0.88568,             0.93928,             0.62079,            0.056097,            0.059904,             0.01322,           0.0047476,           0.0047476,            0.057248
                   4,            0.065103,            0.063899,            0.015154,             0.90837,             0.82888,             0.94846,             0.67965,             0.05247,            0.057589,            0.011593,           0.0059347,           0.0059347,            0.046535
                   5,            0.061587,            0.061396,            0.014005,             0.85679,              0.8589,             0.94061,             0.47589,            0.056606,            0.057443,            0.010633,           0.0071201,           0.0071201,             0.03582
                   6,            0.061049,            0.064285,            0.013688,             0.79894,             0.82604,             0.88519,             0.36353,            0.055294,            0.058696,            0.010253,           0.0083034,           0.0083034,            0.025103
                   7,            0.058095,             0.06041,            0.013171,             0.86832,             0.91312,             0.95272,             0.62317,            0.043729,            0.053606,            0.010212,           0.0094842,           0.0094842,            0.014384
                   8,            0.054611,             0.05674,            0.012777,             0.82031,             0.97039,             0.94098,             0.68489,            0.043966,            0.052406,           0.0098609,           0.0099645,           0.0099645,           0.0099645
                   9,            0.050625,            0.057063,            0.012104,             0.91646,             0.89629,             0.97594,             0.76124,             0.04306,            0.051249,           0.0093211,           0.0099645,           0.0099645,           0.0099645
                  10,            0.047336,            0.052319,            0.011542,             0.94509,             0.95259,             0.98519,             0.77308,             0.03838,             0.04837,           0.0093139,           0.0099551,           0.0099551,           0.0099551
                  11,            0.044531,            0.050906,            0.011255,             0.98431,             0.99745,             0.99448,             0.73261,            0.036693,            0.046887,           0.0090495,           0.0099446,           0.0099446,           0.0099446
                  12,             0.04375,            0.049816,            0.011045,             0.99482,             0.99892,             0.99481,             0.80276,            0.036584,            0.046099,            0.008826,            0.009933,            0.009933,            0.009933
                  13,            0.040487,            0.048767,            0.010661,             0.99377,             0.99739,             0.99478,             0.82396,            0.033476,            0.044157,           0.0084976,           0.0099203,           0.0099203,           0.0099203
                  14,            0.040246,             0.04739,            0.010472,             0.99747,             0.99954,              0.9948,             0.82016,            0.031549,            0.042657,           0.0086965,           0.0099065,           0.0099065,           0.0099065
                  15,            0.041566,            0.048453,            0.010477,             0.99839,             0.99953,             0.99472,             0.82893,            0.032282,            0.043205,           0.0083965,           0.0098916,           0.0098916,           0.0098916
                  16,            0.039873,            0.047789,            0.010403,             0.99822,             0.99953,              0.9948,             0.81362,            0.029902,            0.041451,           0.0083101,           0.0098757,           0.0098757,           0.0098757
                  17,             0.03971,             0.04728,             0.01034,              0.9984,             0.99954,             0.99484,              0.8427,            0.030379,            0.041252,           0.0082522,           0.0098586,           0.0098586,           0.0098586
                  18,            0.038394,            0.045137,            0.010145,             0.99852,             0.99954,             0.99481,             0.83541,            0.029688,            0.040815,           0.0081552,           0.0098405,           0.0098405,           0.0098405
                  19,            0.037193,             0.04456,            0.010002,             0.99857,             0.99953,             0.99483,             0.85115,             0.02784,            0.039465,           0.0082315,           0.0098213,           0.0098213,           0.0098213
                  20,            0.036103,            0.044467,           0.0098597,              0.9982,             0.99945,             0.99485,             0.84519,            0.028999,            0.039994,           0.0080686,           0.0098011,           0.0098011,           0.0098011
                  21,            0.036411,            0.044722,            0.010038,             0.99864,             0.99922,             0.99485,             0.85793,            0.027892,            0.039278,           0.0080769,           0.0097798,           0.0097798,           0.0097798
                  22,            0.036561,            0.045394,           0.0097791,             0.99855,             0.99954,             0.99486,             0.85806,            0.029192,            0.039582,           0.0079025,           0.0097574,           0.0097574,           0.0097574
                  23,            0.035379,            0.044014,           0.0097223,             0.99849,             0.99953,              0.9948,             0.86751,            0.026784,            0.037781,           0.0079241,            0.009734,            0.009734,            0.009734
                  24,            0.034918,            0.043127,           0.0096018,             0.99861,             0.99954,              0.9949,             0.85905,            0.027998,            0.038204,           0.0078809,           0.0097095,           0.0097095,           0.0097095
                  25,            0.035472,            0.044135,           0.0097364,             0.99862,             0.99954,             0.99492,             0.85187,            0.027889,            0.038312,            0.007835,            0.009684,            0.009684,            0.009684
                  26,            0.035507,            0.044145,           0.0095733,             0.99859,             0.99954,             0.99493,              0.8504,            0.027521,            0.038027,           0.0077694,           0.0096575,           0.0096575,           0.0096575
                  27,            0.034357,            0.041798,           0.0097436,             0.99857,             0.99954,              0.9949,             0.86616,            0.028591,            0.038847,           0.0077323,           0.0096299,           0.0096299,           0.0096299
                  28,            0.034949,            0.043142,           0.0095813,              0.9986,             0.99954,             0.99485,             0.85973,            0.026787,            0.037723,           0.0077346,           0.0096013,           0.0096013,           0.0096013
                  29,            0.033634,            0.043761,           0.0095924,             0.99864,             0.99954,             0.99488,             0.87178,             0.02635,            0.037072,           0.0076648,           0.0095717,           0.0095717,           0.0095717
                  30,            0.034312,            0.043408,           0.0096005,             0.99858,             0.99954,             0.99491,             0.84099,            0.028679,            0.039061,           0.0077203,           0.0095411,           0.0095411,           0.0095411
                  31,            0.034575,            0.042831,           0.0092853,             0.99856,             0.99954,              0.9949,              0.8715,            0.025761,            0.036694,           0.0076128,           0.0095095,           0.0095095,           0.0095095
                  32,            0.034592,            0.042112,           0.0092921,              0.9985,             0.99954,             0.99486,             0.87336,            0.026843,            0.037154,           0.0076032,           0.0094769,           0.0094769,           0.0094769
                  33,            0.034204,            0.041914,           0.0092601,             0.99865,             0.99954,             0.99487,             0.86424,            0.026884,            0.037407,           0.0075853,           0.0094434,           0.0094434,           0.0094434
                  34,            0.033418,            0.040518,           0.0093792,             0.99856,             0.99954,             0.99487,             0.87435,            0.027629,            0.037603,           0.0076042,           0.0094088,           0.0094088,           0.0094088
                  35,            0.033332,            0.041388,           0.0094952,             0.99858,             0.99954,             0.99487,             0.87332,            0.026663,            0.036725,           0.0074355,           0.0093733,           0.0093733,           0.0093733
                  36,            0.033545,            0.041026,           0.0093999,             0.99861,             0.99954,             0.99481,             0.87651,             0.02659,            0.036857,           0.0075168,           0.0093369,           0.0093369,           0.0093369
                  37,            0.031566,            0.039174,           0.0091033,             0.99862,             0.99954,             0.99494,             0.88106,            0.025394,             0.03559,           0.0074853,           0.0092995,           0.0092995,           0.0092995
                  38,            0.032034,            0.039634,           0.0092788,             0.99856,             0.99954,             0.99491,             0.87976,             0.02568,              0.0362,           0.0074678,           0.0092611,           0.0092611,           0.0092611
                  39,            0.031866,            0.040275,            0.009133,             0.99863,             0.99954,              0.9949,             0.88166,            0.024645,            0.035097,           0.0074466,           0.0092219,           0.0092219,           0.0092219
                  40,             0.03188,            0.039689,           0.0092002,              0.9986,             0.99954,             0.99492,             0.87943,            0.025639,            0.035862,           0.0074913,           0.0091817,           0.0091817,           0.0091817
                  41,            0.031351,            0.039723,           0.0090955,             0.99865,             0.99954,              0.9949,              0.8825,            0.024847,            0.035231,           0.0074176,           0.0091406,           0.0091406,           0.0091406
                  42,            0.031026,            0.039555,           0.0091136,             0.99852,             0.99954,             0.99489,             0.87848,            0.024686,              0.0348,           0.0074408,           0.0090986,           0.0090986,           0.0090986
                  43,             0.03175,             0.03927,           0.0090929,             0.99857,             0.99954,             0.99488,              0.8834,            0.025628,             0.03617,           0.0074448,           0.0090557,           0.0090557,           0.0090557
                  44,            0.030616,            0.038529,           0.0090821,             0.99864,             0.99954,             0.99491,             0.89001,            0.024334,            0.034336,           0.0073691,           0.0090119,           0.0090119,           0.0090119
                  45,            0.032121,            0.039515,           0.0091272,             0.99864,             0.99954,             0.99482,             0.87151,            0.026216,             0.03669,           0.0074507,           0.0089673,           0.0089673,           0.0089673
                  46,            0.032078,            0.041158,           0.0091658,             0.99862,             0.99954,             0.99492,             0.88282,            0.024642,            0.035159,           0.0073202,           0.0089218,           0.0089218,           0.0089218
                  47,            0.032254,            0.039845,           0.0091555,             0.99855,             0.99954,             0.99489,              0.8853,            0.024392,            0.034411,           0.0073838,           0.0088755,           0.0088755,           0.0088755
                  48,            0.031077,             0.03894,           0.0088769,              0.9985,             0.99954,             0.99484,              0.8866,            0.024805,            0.034893,           0.0072544,           0.0088283,           0.0088283,           0.0088283
                  49,            0.030979,            0.038565,           0.0090093,             0.99861,             0.99954,             0.99485,             0.87792,            0.024697,             0.03466,           0.0072936,           0.0087804,           0.0087804,           0.0087804
