               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10413,             0.10053,            0.034708,             0.42093,             0.41114,              0.3946,             0.10726,            0.069025,            0.093588,            0.028022,             0.00145,             0.00145,             0.08695
                   1,            0.073787,            0.071637,            0.026152,             0.66052,             0.74216,             0.80737,             0.43156,            0.066807,            0.065056,            0.020703,           0.0029094,           0.0029094,            0.073809
                   2,              0.0705,            0.065438,            0.019852,             0.57887,              0.7936,             0.73174,             0.32047,            0.059913,            0.067846,            0.014213,           0.0043661,           0.0043661,            0.060666
                   3,            0.065415,            0.063867,             0.01597,             0.72804,             0.86572,             0.84833,             0.26922,            0.059044,            0.059749,            0.011895,           0.0058184,           0.0058184,            0.047518
                   4,            0.062042,            0.061189,            0.014172,             0.71416,             0.80058,             0.88504,             0.55079,            0.052117,            0.056332,             0.01112,           0.0072641,           0.0072641,            0.034364
                   5,            0.059672,            0.062383,            0.013549,             0.76821,             0.80102,             0.88017,             0.46778,            0.051907,            0.055644,            0.010786,           0.0087015,           0.0087015,            0.021202
                   6,            0.057455,            0.059648,            0.013186,             0.87207,             0.90892,             0.96498,             0.70703,            0.046851,            0.053038,            0.010395,           0.0099203,           0.0099203,           0.0099203
                   7,            0.051729,             0.05642,            0.012604,             0.98202,             0.99132,              0.9934,              0.6999,            0.040255,            0.050945,           0.0097157,           0.0099203,           0.0099203,           0.0099203
                   8,            0.048508,            0.054507,            0.011953,             0.97666,             0.96814,             0.99264,             0.70591,            0.040687,            0.049559,           0.0095867,           0.0098916,           0.0098916,           0.0098916
                   9,             0.04566,            0.051112,            0.011437,             0.99246,              0.9992,             0.99474,             0.81113,            0.037271,            0.046273,           0.0091442,           0.0098586,           0.0098586,           0.0098586
                  10,            0.043321,            0.048668,            0.011036,             0.99716,             0.99923,             0.99474,             0.78322,            0.035538,            0.045064,           0.0089392,           0.0098213,           0.0098213,           0.0098213
                  11,            0.041556,            0.047962,            0.011058,             0.99288,             0.99824,             0.99481,             0.81066,            0.033567,             0.04436,           0.0085481,           0.0097798,           0.0097798,           0.0097798
                  12,            0.040721,            0.047274,            0.010755,             0.99811,              0.9994,             0.99487,             0.84323,            0.031246,            0.041962,           0.0087007,            0.009734,            0.009734,            0.009734
                  13,            0.039087,            0.046997,            0.010546,             0.99821,             0.99958,             0.99487,             0.84964,            0.030377,            0.040738,           0.0084154,            0.009684,            0.009684,            0.009684
                  14,            0.038215,            0.045368,            0.010331,             0.99814,             0.99939,             0.99487,             0.81204,            0.031516,            0.041966,           0.0084348,           0.0096299,           0.0096299,           0.0096299
                  15,            0.039569,            0.045793,             0.01042,             0.99836,             0.99911,             0.99488,             0.83504,             0.03043,            0.040852,           0.0083292,           0.0095717,           0.0095717,           0.0095717
                  16,            0.037579,            0.044359,            0.010124,             0.99849,             0.99917,             0.99491,             0.84723,            0.029833,            0.040081,           0.0082085,           0.0095095,           0.0095095,           0.0095095
                  17,             0.03731,            0.044193,            0.010075,             0.99858,             0.99926,             0.99489,             0.85114,            0.028487,            0.039064,           0.0081665,           0.0094434,           0.0094434,           0.0094434
                  18,            0.035016,            0.043743,           0.0098178,             0.99828,             0.99941,             0.99488,             0.85261,            0.029211,             0.03973,           0.0080228,           0.0093733,           0.0093733,           0.0093733
                  19,            0.035148,            0.042907,           0.0098949,             0.99816,             0.99942,             0.99483,             0.87208,            0.027185,            0.037561,           0.0079762,           0.0092995,           0.0092995,           0.0092995
                  20,            0.036181,            0.043674,           0.0097876,             0.99828,              0.9994,             0.99487,             0.86336,            0.027888,            0.038392,           0.0080317,           0.0092219,           0.0092219,           0.0092219
                  21,            0.036281,            0.044301,           0.0099269,             0.99831,             0.99941,             0.99489,              0.8615,            0.027867,             0.03862,           0.0079448,           0.0091406,           0.0091406,           0.0091406
                  22,            0.035069,            0.042087,           0.0097881,             0.99873,             0.99937,             0.99487,             0.86457,            0.028076,            0.038195,           0.0078892,           0.0090557,           0.0090557,           0.0090557
                  23,            0.034609,            0.042323,           0.0096685,             0.99833,             0.99925,             0.99486,             0.87809,            0.026362,            0.036836,           0.0078288,           0.0089673,           0.0089673,           0.0089673
                  24,             0.03491,            0.043053,           0.0097116,             0.99844,             0.99926,             0.99473,             0.87075,            0.028165,            0.038148,           0.0077947,           0.0088755,           0.0088755,           0.0088755
                  25,            0.033293,            0.041907,           0.0095623,              0.9984,              0.9994,             0.99475,             0.87582,            0.026669,            0.037001,           0.0077049,           0.0087804,           0.0087804,           0.0087804
